date,pixel_id,quality
2021-01-01,1,0.73
2021-01-17,1,0.99
2021-02-02,1,0.99
2021-02-18,1,0.95
2021-03-06,1,0.72
2021-03-22,1,0.81
2021-04-07,1,0.87
2021-04-23,1,0.87
2021-05-09,1,0.85
2021-05-25,1,0.71
2021-06-10,1,0.84
2021-06-26,1,0.98
2021-07-12,1,0.96
2021-07-28,1,0.87
2021-08-13,1,0.95
2021-08-29,1,0.97
2021-09-14,1,0.93
2021-09-30,1,0.97
2021-10-16,1,0.96
2021-11-01,1,0.72
2021-11-17,1,0.78
2021-12-03,1,0.92
2021-12-19,1,0.87
2022-01-04,1,0.71
2022-01-20,1,0.72
2022-02-05,1,0.83
2022-02-21,1,0.8
2022-03-09,1,0.91
2022-03-25,1,0.9
2022-04-10,1,0.92
2022-04-26,1,0.86
2022-05-12,1,0.96
2022-05-28,1,0.86
2022-06-13,1,0.82
2022-06-29,1,0.72
2022-07-15,1,0.97
2022-07-31,1,0.81
2022-08-16,1,0.84
2022-09-01,1,0.76
2022-09-17,1,0.89
2022-10-03,1,0.88
2022-10-19,1,0.96
2022-11-04,1,0.94
2022-11-20,1,0.73
2022-12-06,1,0.94
2022-12-22,1,0.88
2021-01-01,2,0.93
2021-01-17,2,0.78
2021-02-02,2,0.78
2021-02-18,2,0.96
2021-03-06,2,0.99
2021-03-22,2,0.77
2021-04-07,2,0.71
2021-04-23,2,0.8
2021-05-09,2,0.93
2021-05-25,2,0.96
2021-06-10,2,0.97
2021-06-26,2,0.74
2021-07-12,2,0.98
2021-07-28,2,0.94
2021-08-13,2,0.84
2021-08-29,2,0.87
2021-09-14,2,0.91
2021-09-30,2,0.82
2021-10-16,2,0.76
2021-11-01,2,0.75
2021-11-17,2,0.76
2021-12-03,2,0.96
2021-12-19,2,0.94
2022-01-04,2,0.7
2022-01-20,2,0.81
2022-02-05,2,0.93
2022-02-21,2,0.72
2022-03-09,2,0.95
2022-03-25,2,0.73
2022-04-10,2,0.94
2022-04-26,2,0.97
2022-05-12,2,0.85
2022-05-28,2,0.9
2022-06-13,2,0.7
2022-06-29,2,0.87
2022-07-15,2,0.97
2022-07-31,2,0.9
2022-08-16,2,0.96
2022-09-01,2,0.8
2022-09-17,2,0.8
2022-10-03,2,0.94
2022-10-19,2,0.73
2022-11-04,2,0.82
2022-11-20,2,0.83
2022-12-06,2,0.76
2022-12-22,2,0.98
2021-01-01,3,0.78
2021-01-17,3,0.77
2021-02-02,3,0.79
2021-02-18,3,0.88
2021-03-06,3,0.76
2021-03-22,3,0.99
2021-04-07,3,0.7
2021-04-23,3,0.83
2021-05-09,3,0.7
2021-05-25,3,0.89
2021-06-10,3,0.95
2021-06-26,3,0.9
2021-07-12,3,0.76
2021-07-28,3,0.74
2021-08-13,3,0.77
2021-08-29,3,0.77
2021-09-14,3,0.89
2021-09-30,3,0.82
2021-10-16,3,0.73
2021-11-01,3,0.8
2021-11-17,3,0.99
2021-12-03,3,0.8
2021-12-19,3,0.79
2022-01-04,3,0.87
2022-01-20,3,0.86
2022-02-05,3,0.9
2022-02-21,3,0.83
2022-03-09,3,0.91
2022-03-25,3,0.77
2022-04-10,3,0.88
2022-04-26,3,0.71
2022-05-12,3,0.82
2022-05-28,3,0.94
2022-06-13,3,0.91
2022-06-29,3,0.96
2022-07-15,3,0.71
2022-07-31,3,0.72
2022-08-16,3,0.83
2022-09-01,3,0.73
2022-09-17,3,0.71
2022-10-03,3,1.0
2022-10-19,3,0.71
2022-11-04,3,0.88
2022-11-20,3,0.9
2022-12-06,3,0.97
2022-12-22,3,0.96
